original,updated/copied,status,notes,grammar_issue_flag
We can't give in.,We can't give in.,done,,
,,,,
"Mr. Speaker, of all the rotten provisions tucked into this document-- and I could go on and on and on--I find the most troubling to be the  radical attack on people living in poverty.","Mr. Speaker, of all the rotten provisions tucked into this document--and I could go on and on and on--I find the most troubling to be the radical attack on people living in poverty.",done,,
,,,,
"Right now, many for-profit colleges are engaged in the same sorts of  predatory lending schemes that we saw in the housing market.","Right now, many for-profit colleges are engaged in the same sorts of predatory lending schemes that we saw in the housing market.",done,,
,,,,
Is even the most cursory review of criminal immigrants to determine  whether they are dangerous to Americans too much for these attorneys?,Is even the most cursory review of criminal immigrants to determine whether they are dangerous to Americans too much for these attorneys?,done,,
,,,,
"Instead of doing more for those  who have little, they are doing much for those who already control the  greatest amount of prosperity ever in the handful of a few people since the  1400s, when the Spanish Empire was ripping off the Western Hemisphere.","Instead of doing more for those who have little, they are doing much for those who already control the greatest amount of prosperity ever in the handful of a few people since the 1400s, when the Spanish Empire was ripping off the Western Hemisphere.",done,,
,,,,
"Apparently, the Republican strategy on the budget does not  recognize arithmetic.","Apparently, the Republican strategy on the budget does not recognize arithmetic.",done,,
